SEQ,VESSELCODE,PIC,MACH_DESC,MAKER_DESC,MATERIAL,MATERIAL_DESC,PART_NO,ROB,Recondition,WORK,LAW,Optimum,UNIT,UNIT_PRICE,EXPENSIVE_AMT,MAJOR_TARGET_AMT,Vessel_survey_item
1578,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018546,"416,TEE CONNECTOR",NE0010I1,0,0,1,0,0,EA,0,,,
1579,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018547,"413, 421, PTFE TUBE",NF0010L0,3,0,1,0,0,EA,13.78,,,
1580,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018549,"339,DIAMETER SOCKET",NJB015C1,0,0,1,0,0,EA,0,,,
1581,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018550,"337,BALL VALVE",P3020DA,0,0,1,0,0,EA,0,,,
1582,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018551,"340,NEEDLE VALVE",P4012DA,0,0,1,0,0,EA,0,,,
1583,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018552,DISTRIBUTOR,S255181-R01,0,0,1,0,0,EA,0,,,
1584,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018553,BOWL HOOD,S255181-R02,0,0,1,0,0,EA,0,,,
1585,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018554,DISC (1),S255181-R03,0,0,1,0,0,EA,0,,,
1586,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018555,BOWL BODY,S255181-R04,0,0,1,0,0,EA,0,,,
1587,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018556,MAIN SEAL RING,S255181-R05,0,0,1,0,0,EA,0,,,
1588,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018557,MAIN CYLINDER,S255181-R06,0,0,1,0,0,EA,0,,,
1589,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018558,PILOT VALVE ASSEMBLY,S255181-R07,0,0,1,0,0,EA,0,,,
1590,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018559,WATER SUPPLING DEVICE,S255181-R08,0,0,1,0,0,EA,0,,,
1591,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018560,IMPELLER (2),S255181-R09,0,0,1,0,0,EA,0,,,
1592,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018561,IMPELLER (1),S255181-R10,0,0,1,0,0,EA,0,,,
1593,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018562,SLUDGE COVER,S255181-R11,0,0,1,0,0,EA,0,,,
1594,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018563,FRAME,S255181-R12,0,0,1,0,0,EA,0,,,
1595,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018564,OIL GAUGE,S255181-R13,0,0,1,0,0,EA,0,,,
1596,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018565,VERTICAL SHAFT,S255181-R14,0,0,1,0,0,EA,0,,,
1597,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018566,BALL BEARING (1),S255181-R15,0,0,1,0,0,EA,0,,,
1598,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018567,UPPER SPRING,S255181-R16,0,0,1,0,0,EA,0,,,
1599,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018568,BEARING (2),S255181-R17,0,0,1,0,0,EA,0,,,
1600,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018569,BEARING (3),S255181-R18,0,0,1,0,0,EA,0,,,
1601,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018570,LOWER SPRING,S255181-R19,0,0,1,0,0,EA,0,,,
1602,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018571,HORIZONTAL SHAFT,S255181-R20,0,0,1,0,0,EA,0,,,
1603,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018572,SPIRAL GEAR,S255181-R21,0,0,1,0,0,EA,0,,,
1604,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018573,FRICTION CLUTH,S255181-R22,0,0,1,0,0,EA,0,,,
1605,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018574,BALL BEARING (1),S255181-R23,0,0,1,0,0,EA,0,,,
1606,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018575,"229,PRESSURE GAGUE (FOR OIL INLET)",SGGV502001,1,0,1,0,0,EA,69.95,,,
1607,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018576,"230,PRESSURE GAGUE (FOR OIL OUTLET)",SGGV504001,1,0,1,0,0,EA,69.95,,,
1608,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018577,BOWL ASS'Y ,SH100351,0,0,1,0,0,EA,0,,,
1609,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018578,"121,GRAVITY DISC",SH100351-121,4,0,1,0,0,EA,12.01,,,
1610,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018579,"418,ORIFICE",465819001,0,0,1,0,0,EA,0,,,
1611,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9018580,"521,SPACER(1)",SH400151-521,1,0,1,0,0,EA,0,,,
1612,HHDG,,L.O. PURIFIER,"SAMGONG CO., LTD",VS.LOS.9026460,MOTOR,SGHSP013_01,0,0,2,0,0,EA,0,,,
1613,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.BWS.9026722,"T1 - TRANSFORMER (220~550V/20,110,220V+24VDC) (MAKER :Siemens)",4200150 (TYPE : 4AM3496-0EJ00-0FA0),0,0,1,0,1,EA,0,,,
1614,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018581,DIFFERENTIAL PRESSURE INDICATOR,550001,0,0,1,0,0,EA,0,,,
1615,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018582,DIFFERENTIAL PRESSURE INDICATOR,550004,0,0,1,0,0,EA,0,,,
1616,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018583,PIPE,600366,0,0,1,0,0,EA,0,,,
1617,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018584,AIR ESCAPE AGGREGATE,600553,1,0,1,0,0,EA,48.58,,,
1618,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018585,GUIDING CAGE,1100220,0,0,1,0,0,EA,0,,,
1619,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018586,FILTER CANDLE,1340079,0,0,1,0,0,EA,0,,,
1620,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018587,STUD BOLT,2000004,0,0,1,0,0,EA,0,,,
1621,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018588,HEXAGON SCREW,2000036,0,0,1,0,0,EA,0,,,
1622,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018589,HEXAGON SCREW,2000045,0,0,1,0,0,EA,0,,,
1623,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018590,HEXAGON SCREW,2000096,0,0,1,0,0,EA,0,,,
1624,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018591,HEXAGON SOCKET HEAD CAP SCREW,2000121,0,0,1,0,0,EA,0,,,
1625,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018592,HEXAGON SOCKET HEAD CAP SCREW,2000122,0,0,1,0,0,EA,0,,,
1626,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018594,HEXAGON SOCKET HEAD CAP SCREW,2000155,0,0,1,0,0,EA,0,,,
1627,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018595,HEXAGON SOCKET HEAD CAP SCREW,2000157,0,0,1,0,0,EA,0,,,
1628,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018596,HEXAGON SOCKET HEAD CAP SCREW,2000158,0,0,1,0,0,EA,0,,,
1629,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018597,SCREWED SEALING PLUG,2000190,0,0,1,0,0,EA,0,,,
1630,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018598,SCREWED SEALING PLUG,2000193,0,0,1,0,0,EA,0,,,
1631,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018600,SLOTTED CHEESE HEAD SCREW,2000261,0,0,1,0,0,EA,0,,,
1632,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018601,SLOTTED CHEESE HEAD SCREW,2000263,0,0,1,0,0,EA,0,,,
1633,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018602,SCREWED SEALING PLUG,2000656,0,0,1,0,0,EA,0,,,
1634,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018603,SCREWED SEALING PLUG,2000910,0,0,1,0,0,EA,0,,,
1635,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018604,HEXAGON SOCKET HEAD CAP SCREW,2000967,0,0,1,0,0,EA,0,,,
1636,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018605,SCREWED SEALING PLUG,2001772,0,0,1,0,0,EA,0,,,
1637,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018606,HEXAGON SOCKET HEAD CAP SCREW,2002155,0,0,1,0,0,EA,0,,,
1638,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018607,THREADED FLANGE SCREW,2003587,0,0,1,0,0,EA,0,,,
1639,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018608,HEXAGON SCREW,2004263,0,0,1,0,0,EA,0,,,
1640,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018609,HEXAGON SCREW,2006963,0,0,1,0,0,EA,0,,,
1641,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018610,STUD BOLT,2009088,0,0,1,0,0,EA,0,,,
1642,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018612,STUD BOLT,2009089,0,0,1,0,0,EA,0,,,
1643,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018613,STUD BOLT,2009095,0,0,1,0,0,EA,0,,,
1644,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018614,HEXAGON SCREW,2009908,0,0,1,0,0,EA,0,,,
1645,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018615,HEXAGON SOCKET HEAD CAP SCREW,2010108,0,0,1,0,0,EA,0,,,
1646,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018616,HEXAGON SOCKET HEAD CAP SCREW,2010111,0,0,1,0,0,EA,0,,,
1647,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018617,HEXAGON SOCKET HEAD CAP SCREW,2010326,0,0,1,0,0,EA,0,,,
1648,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018618,HEXAGON SOCKET HEAD CAP SCREW,2010332,0,0,1,0,0,EA,0,,,
1649,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018619,HEXAGON SOCKET HEAD CAP SCREW,2014642,0,0,1,0,0,EA,0,,,
1650,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018620,HEXAGON NUT,2100006,0,0,1,0,0,EA,0,,,
1651,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018622,HEXAGON NUT,2100007,0,0,1,0,0,EA,0,,,
1652,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018625,SELF-LOCKING HEXAGON-HEAD NUT,2100032,0,0,1,0,0,EA,0,,,
1653,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018626,SHAFT NUT,2100064,0,0,1,0,0,EA,0,,,
1654,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018627,DISC,2200008,0,0,1,0,0,EA,0,,,
1655,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018628,TAB WASHER,2200048,0,0,1,0,0,EA,0,,,
1656,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018629,LOCKING PLATE WITH LUG,2200050,0,0,1,0,0,EA,0,,,
1657,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018630,LOCKING RING,2203318,0,0,1,0,0,EA,0,,,
1658,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018631,LOCKING RING,2205949,0,0,1,0,0,EA,0,,,
1659,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018632,LOCKING RING,2207119,0,0,1,0,0,EA,0,,,
1660,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018633,BALL AIR VALVE,2300089,0,0,1,0,0,EA,0,,,
1661,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018634,BALL FLUSHING VALVE,2300090,0,0,1,0,0,EA,0,,,
1662,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018635,CRANK HANDLE,2380014,0,0,1,0,0,EA,0,,,
1663,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018636,FEATHER KEY,2401000,0,0,1,0,0,EA,0,,,
1664,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018637,SCREWING,2500023,0,0,1,0,0,EA,0,,,
1665,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018638,SCREWING,2500024,0,0,1,0,0,EA,0,,,
1666,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018640,SCREWING,2500025,0,0,1,0,0,EA,0,,,
1667,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018642,SCREWED SOCKET,2500083,0,0,1,0,0,EA,0,,,
1668,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018643,ANGLE SCREWING,2500119,0,0,1,0,0,EA,0,,,
1669,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018644,SCREWING,2500187,0,0,1,0,0,EA,0,,,
1670,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018645,REDUCING SOCKET,2500188,0,0,1,0,0,EA,0,,,
1671,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018646,SCREWING,2500189,0,0,1,0,0,EA,0,,,
1672,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018647,SCREW,2500190,0,0,1,0,0,EA,0,,,
1673,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018648,SCREWED SOCKET,2506323,0,0,1,0,0,EA,0,,,
1674,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018649,SCREWING,2506980,0,0,1,0,0,EA,0,,,
1675,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018650,SCREWING,2507461,0,0,1,0,0,EA,0,,,
1676,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018651,SCREWING EXTENSION,2510239,0,0,1,0,0,EA,0,,,
1677,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018652,THREADED PIPE FITTING,2510283,0,0,1,0,0,EA,0,,,
1678,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018653,THREE WAY BALL VALVE,2560009,0,0,1,0,0,EA,0,,,
1679,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018655,ANGLE BALL VALVE,2560356,0,0,1,0,0,EA,0,,,
1680,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018656,HIGH PRESSURE CONTROL DEVICE,2600251,0,0,1,0,0,EA,0,,,
1681,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018657,SOUND ABSORBER,2600264,0,0,1,0,0,EA,0,,,
1682,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018658,SHOCK ABSORBER FOR PRESSURE GAUGE G1/4,2600272,0,0,1,0,0,EA,0,,,
1683,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018660,NON RETURN VALVE,2608775,0,0,1,0,0,EA,0,,,
1684,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018661,SOUND ABSORBER,2614171,2,0,1,0,0,EA,34.89,,,
1685,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018662,PRESSURE GAUGE,2616316,0,0,1,0,0,EA,0,,,
1686,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018665,SOLENOID VALVE,2656655,0,0,1,0,0,EA,0,,,
1687,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018666,SOLENOID VALVE,2660029,0,0,1,0,0,EA,0,,,
1688,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018668,SAFETY VALVE,2660037,0,0,1,0,0,EA,0,,,
1689,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018669,BACK FLUSHING FILTER,269454,0,0,1,0,0,EA,0,,,
1690,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018670,DEEP GROOVE BALL BEARING,2700030,1,0,1,0,0,EA,98,,,
1691,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018671,FLUSHING OIL TREATMENT SUBASSEMBLY,288429,0,0,1,0,0,EA,0,,,
1692,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018672,O-RING,3031743,12,0,1,0,0,EA,1.68,,,
1693,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018674,O-RING,3040016,8,0,1,0,0,EA,4.58,,,
1694,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018676,O-RING,3040041,2,0,1,0,0,EA,5.49,,,
1695,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018677,O-RING,3040099,6,0,1,0,0,EA,1.68,,,
1696,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018678,O-RING,3040100,8,0,1,0,0,EA,0.84,,,
1697,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018679,O-RING,3040103,2,0,1,0,0,EA,1.69,,,
1698,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018680,O-RING,3040116,2,0,1,0,0,EA,1.69,,,
1699,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018681,O-RING,3040127,2,0,1,0,0,EA,2.53,,,
1700,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018682,O-RING,3040128,4,0,1,0,0,EA,7.41,,,
1701,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018683,O-RING,3040133,1,0,1,0,0,EA,10.1,,,
1702,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018684,O-RING,3040134,2,0,1,0,0,EA,11.79,,,
1703,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018685,O-RING,3040157,6,0,1,0,0,EA,0.84,,,
1704,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018686,O-RING,3040224,0,0,1,0,0,EA,0,,,
1705,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018687,O-RING,3040412,0,0,1,0,0,EA,0,,,
1706,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018688,O-RING,3041057,2,0,1,0,0,EA,1.69,,,
1707,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018689,O-RING,3041059,2,0,1,0,0,EA,2.44,,,
1708,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018690,O-RING,3041062,2,0,1,0,0,EA,3.25,,,
1709,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018691,O-RING,3041285,2,0,1,0,0,EA,6.74,,,
1710,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018692,O-RING,3041822,4,0,1,0,0,EA,0,,,
1711,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018693,O-RING,3045913,3,0,1,0,0,EA,0,,,
1712,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018694,O-RING,3046821,2,0,1,0,0,EA,1.69,,,
1713,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018695,O-RING,3048178,2,0,1,0,0,EA,1.69,,,
1714,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018696,O-RING,3130009,1,0,1,0,0,EA,0,,,
1715,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018697,GASKET,3270002,0,0,1,0,0,EA,0,,,
1716,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018698,GASKET,3270004,0,0,1,0,0,EA,0,,,
1717,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018699,GASKET,3270005,0,0,1,0,0,EA,0,,,
1718,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018700,GASKET,3270008,0,0,1,0,0,EA,0,,,
1719,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018701,GASKET,3274855,2,0,1,0,0,EA,11.79,,,
1720,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018703,PTFE RING,3324251,0,0,1,0,0,EA,0,,,
1721,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018704,FLAT GASKET,3328072,0,0,1,0,0,EA,0,,,
1722,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018705,FLAT GASKET,3380070,0,0,1,0,0,EA,0,,,
1723,HHDG,,M/E L.O. AUTO BACKWASHING FILTER,BOLL+KIRCH FILTERBAU GMBH,VS.LOS.9018706,FLAT GASKET,3380199,0,0,1,0,0,EA,0,,,
