SEQ,VESSELCODE,PIC,MACH_DESC,MAKER_DESC,MATERIAL,MATERIAL_DESC,PART_NO,ROB,Recondition,WORK,LAW,Optimum,UNIT,UNIT_PRICE,EXPENSIVE_AMT,MAJOR_TARGET_AMT,Vessel_survey_item
33,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008175,PACKING(E.T.U.),GRS-100EB-01-21,0,0,1,0,0,EA,0,,,
34,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008176,HANDHOLE PACKING,GRS-100EB-01-22,1,0,1,0,0,EA,35.34,,,
35,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008177,OIL INLET,GRS-100EB-01-3,0,0,1,0,0,EA,0,,,
36,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008178,AIR VENT,GRS-100EB-01-4,0,0,1,0,0,EA,0,,,
37,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008179,AUTO AIR VENT,GRS-100EB-01-4-1,0,0,1,0,0,EA,0,,,
38,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008180,DRAIN OUTLET,GRS-100EB-01-5,0,0,1,0,0,EA,0,,,
39,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008181,CLEAN WATER OUTLET,GRS-100EB-01-6,0,0,1,0,0,EA,0,,,
40,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008182,SAFETY VALVE,GRS-100EB-01-7,0,0,1,0,0,EA,0,,,
41,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008183,OIL LEVEL DETECTOR,GRS-100EB-01-8,0,0,1,0,0,EA,0,,,
42,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008184,PACKING(P.S.U.),GRS-100EB-01-9,0,0,1,0,0,EA,0,,,
